8888332211001001, WZY-B-001-A-07, 7281, 1
8888332211001002, WZY-B-001-A-14, 14670, 2
8888332211001003, WZY-B-001-A-25, 20500, 3
8888332211001004, WZY-B-001-A-07, 7281, 1
8888332211001005, WZY-B-001-A-14, 14670, 2
8888332211001006, WZY-B-001-A-25, 20500, 3
8888332211001007, WZY-B-001-A-07, 7281, 1
8888332211001008, WZY-B-001-A-14, 14670, 2
8888332211001009, WZY-B-001-A-25, 20500, 3
8888332211001501, WZY-B-001-A-14, 14670, 2
8888332211002000, WZY-B-001-A-07, 7281, 1
8888332211002001, WZY-B-001-A-14, 14670, 2
8888332211002002, WZY-B-001-A-25, 20500, 3
